1.146120+0.000000j	1.144531+0.000000j
1.155033+0.065521j	1.144531+0.007812j
1.182850+0.134672j	1.156250+0.089844j
1.233146+0.211856j	1.218750+0.175781j
1.313223+0.303363j	1.316406+0.296875j
1.437169+0.419585j	1.437500+0.410156j
1.633507+0.580191j	1.652344+0.554688j
1.967476+0.828938j	1.953125+0.792969j
2.624678+1.288999j	2.609375+1.261719j
4.418042+2.498117j	4.375000+2.480469j
25.657059+16.559286j	25.445312+16.445312j
-5.313581-3.891803j	-5.281250-3.871094j
-2.151774-1.782307j	-2.152344-1.781250j
-1.244170-1.163830j	-1.246094-1.164062j
-0.817231-0.863899j	-0.773438-0.886719j
-0.571127-0.684189j	-0.554688-0.691406j
-0.412356-0.562780j	-0.406250-0.558594j
-0.302346-0.474068j	-0.289062-0.472656j
-0.222296-0.405536j	-0.195312-0.417969j
-0.161970-0.350328j	-0.175781-0.351562j
-0.115315-0.304366j	-0.113281-0.296875j
-0.078540-0.265066j	-0.078125-0.253906j
-0.049149-0.230707j	0.015625-0.242188j
-0.025450-0.200094j	-0.007812-0.199219j
-0.006241-0.172366j	0.000000-0.183594j
0.009331-0.146881j	0.023438-0.152344j
0.021896-0.123148j	0.058594-0.164062j
0.031900-0.100785j	0.046875-0.128906j
0.039700-0.079473j	0.042969-0.062500j
0.045537-0.058953j	0.046875-0.042969j
0.049591-0.038998j	0.046875-0.035156j
0.051977-0.019410j	0.074219-0.039062j
0.052765+0.000000j	0.074219+0.000000j
0.051977+0.019411j	0.074219+0.039062j
0.049591+0.038999j	0.046875+0.035156j
0.045538+0.058953j	0.046875+0.042969j
0.039700+0.079473j	0.042969+0.062500j
0.031900+0.100784j	0.046875+0.128906j
0.021893+0.123153j	0.058594+0.164062j
0.009331+0.146881j	0.023438+0.152344j
-0.006242+0.172366j	0.000000+0.183594j
-0.025450+0.200095j	-0.007812+0.199219j
-0.049152+0.230709j	0.015625+0.242188j
-0.078540+0.265066j	-0.078125+0.253906j
-0.115315+0.304366j	-0.113281+0.296875j
-0.161969+0.350328j	-0.175781+0.351562j
-0.222298+0.405539j	-0.195312+0.417969j
-0.302346+0.474069j	-0.289062+0.472656j
-0.412356+0.562780j	-0.406250+0.558594j
-0.571128+0.684190j	-0.554688+0.691406j
-0.817232+0.863901j	-0.773438+0.886719j
-1.244169+1.163831j	-1.246094+1.164062j
-2.151773+1.782308j	-2.152344+1.781250j
-5.313581+3.891806j	-5.281250+3.871094j
25.657051-16.559298j	25.445312-16.445312j
4.418041-2.498118j	4.375000-2.480469j
2.624677-1.288999j	2.609375-1.261719j
1.967474-0.828938j	1.953125-0.792969j
1.633503-0.580189j	1.652344-0.554688j
1.437169-0.419587j	1.437500-0.410156j
1.313222-0.303363j	1.316406-0.296875j
1.233145-0.211857j	1.218750-0.175781j
1.182853-0.134674j	1.156250-0.089844j
1.155033-0.065521j	1.144531-0.007812j

0.776059+0.000000j	0.773438+0.000000j
-0.094044-0.113745j	-0.097656-0.113281j
-0.031568-0.077057j	-0.035156-0.078125j
-0.017512-0.052417j	-0.019531-0.054688j
-0.013082-0.039149j	-0.015625-0.042969j
-0.011148-0.031090j	-0.011719-0.031250j
-0.010124-0.025671j	-0.011719-0.027344j
-0.009515-0.021764j	-0.011719-0.023438j
-0.009122-0.018800j	-0.011719-0.019531j
-0.008855-0.016464j	-0.011719-0.019531j
-0.008664-0.014568j	-0.011719-0.015625j
-0.008524-0.012992j	-0.011719-0.015625j
-0.008417-0.011654j	-0.011719-0.015625j
-0.008335-0.010499j	-0.011719-0.011719j
-0.008270-0.009488j	-0.011719-0.011719j
-0.008218-0.008591j	-0.011719-0.011719j
-0.008175-0.007787j	-0.011719-0.007812j
-0.008141-0.007057j	-0.011719-0.007812j
-0.008112-0.006390j	-0.011719-0.007812j
-0.008088-0.005775j	-0.011719-0.007812j
-0.008067-0.005203j	-0.011719-0.007812j
-0.008051-0.004667j	-0.011719-0.007812j
-0.008036-0.004162j	-0.011719-0.007812j
-0.008024-0.003683j	-0.011719-0.003906j
-0.008014-0.003225j	-0.011719-0.003906j
-0.008006-0.002786j	-0.011719-0.003906j
-0.007999-0.002362j	-0.011719-0.003906j
-0.007993-0.001950j	-0.011719-0.003906j
-0.007988-0.001549j	-0.011719-0.003906j
-0.007985-0.001155j	-0.011719-0.003906j
-0.007983-0.000767j	-0.007812-0.003906j
-0.007981-0.000383j	-0.011719+0.000000j
-0.007981+0.000000j	-0.011719+0.000000j
-0.007981+0.000383j	-0.011719+0.000000j
-0.007983+0.000767j	-0.007812+0.000000j
-0.007985+0.001155j	-0.011719+0.000000j
-0.007988+0.001549j	-0.011719+0.000000j
-0.007993+0.001950j	-0.007812+0.000000j
-0.007999+0.002362j	-0.011719+0.000000j
-0.008006+0.002786j	-0.011719+0.000000j
-0.008014+0.003225j	-0.011719+0.000000j
-0.008024+0.003683j	-0.011719+0.000000j
-0.008036+0.004162j	-0.011719+0.003906j
-0.008051+0.004667j	-0.007812+0.003906j
-0.008067+0.005203j	-0.011719+0.003906j
-0.008088+0.005775j	-0.007812+0.003906j
-0.008112+0.006390j	-0.007812+0.003906j
-0.008140+0.007057j	-0.007812+0.003906j
-0.008175+0.007787j	-0.011719+0.003906j
-0.008218+0.008591j	-0.011719+0.007812j
-0.008270+0.009488j	-0.011719+0.007812j
-0.008335+0.010499j	-0.011719+0.007812j
-0.008417+0.011654j	-0.011719+0.007812j
-0.008524+0.012992j	-0.011719+0.011719j
-0.008664+0.014568j	-0.011719+0.011719j
-0.008855+0.016464j	-0.011719+0.015625j
-0.009122+0.018800j	-0.011719+0.015625j
-0.009515+0.021764j	-0.011719+0.019531j
-0.010124+0.025671j	-0.011719+0.023438j
-0.011148+0.031090j	-0.011719+0.027344j
-0.013082+0.039149j	-0.015625+0.039062j
-0.017512+0.052417j	-0.019531+0.050781j
-0.031568+0.077057j	-0.035156+0.074219j
-0.094044+0.113745j	-0.093750+0.109375j

